entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label
DEV-0087,edge_device,2024-01-01T07:02:39,139.18.35.61,US-East,/api/health,sso,110.94,"login,view,logout",Ubuntu-22.04/x86_64|cb:29:a8:c2:a2:f9,normal
USR-0119,user,2024-01-01T07:06:32,154.28.3.53,US-West,/db/admin,certificate,91.6,"login,upload,verify,logout",Android-14/ARM64|91:f9:9d:17:70:ca,normal
SVC-0073,service_account,2024-01-01T07:12:35,113.63.239.177,AP-East,/api/logs,sso,102.33,"login,read,read,logout",FW-EdgeOS-3.1|48:24:1e:54:9d:93,normal
SVC-0052,service_account,2024-01-01T07:16:23,84.108.232.84,US-West,/network/firewall,token,68.68,"login,read,read,logout",RHEL-9.3/x86_64|45:ec:5d:19:85:c2,normal
DEV-0070,edge_device,2024-01-01T07:19:28,41.122.88.142,AP-South,/db/admin,certificate,75.62,"login,upload,verify,logout",Ubuntu-22.04/x86_64|1e:32:6a:6c:87:29,normal
SVC-0029,service_account,2024-01-01T07:19:59,217.26.47.163,AP-South,/api/reports,certificate,19.93,"login,upload,verify,logout",macOS-14.2/ARM64|6b:af:68:87:fa:80,normal
SVC-0007,service_account,2024-01-01T07:29:41,17.108.161.55,ME-Central,/api/data-export,biometric,28.16,"login,upload,verify,logout",FW-EdgeOS-3.1|1c:75:10:a1:cd:89,normal
SVC-0128,service_account,2024-01-01T07:39:38,116.96.164.155,AP-East,/api/reports,certificate,120.17,"login,upload,verify,logout",FW-EdgeOS-3.1|92:27:2e:c4:ec:15,normal
DEV-0123,edge_device,2024-01-01T07:40:11,112.205.40.102,CA-Central,/ssh/connect,certificate,9.12,"login,read,read,logout",FW-EdgeOS-3.1|eb:b9:2d:df:36:7c,normal
DEV-0050,edge_device,2024-01-01T07:44:00,8.199.172.172,ME-Central,/api/deploy,token,101.31,"login,upload,verify,logout",Ubuntu-22.04/x86_64|70:f9:70:8b:df:f8,normal
SVC-0188,service_account,2024-01-01T07:44:34,85.83.234.166,EU-Central,/storage/upload,password,3.13,"login,view,logout",RHEL-9.3/x86_64|fc:44:ef:8b:62:39,normal
USR-0106,user,2024-01-01T07:45:51,122.229.185.132,US-East,/api/admin,sso,77.81,"login,view,logout",RHEL-9.3/x86_64|87:1a:40:d7:3a:20,normal
DEV-0050,edge_device,2024-01-01T07:49:38,8.199.172.172,ME-Central,/api/deploy,token,70.09,"login,upload,verify,logout",Ubuntu-22.04/x86_64|70:f9:70:8b:df:f8,normal
SVC-0124,service_account,2024-01-01T08:05:11,136.99.178.90,US-West,/storage/delete,biometric,70.66,"login,view,logout",ChromeOS-120/x86_64|ad:71:aa:56:27:3a,normal
DEV-0009,edge_device,2024-01-01T08:08:58,194.24.56.40,EU-Central,/api/settings,password,35.23,"login,view,logout",IoT-RTOS-2.4|cc:b9:70:46:fc:2e,normal
SVC-0175,service_account,2024-01-01T08:14:38,101.153.172.130,EU-West,/db/read,certificate,45.01,"login,read,read,logout",FW-EdgeOS-3.1|e9:4c:47:a7:a3:53,normal
DEV-0040,edge_device,2024-01-01T08:16:28,74.107.220.202,US-East,/api/health,sso,151.58,"login,read,read,logout",Android-14/ARM64|c2:59:9a:cf:00:9b,normal
SVC-0188,service_account,2024-01-01T08:19:03,85.83.234.166,EU-Central,/storage/upload,password,6.19,"login,view,logout",RHEL-9.3/x86_64|fc:44:ef:8b:62:39,normal
SVC-0124,service_account,2024-01-01T08:20:07,136.99.178.90,EU-Central,/db/admin,biometric,63.98,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|ad:71:aa:56:27:3a,normal
DEV-0088,edge_device,2024-01-01T08:21:36,114.85.153.232,SA-East,/api/health,biometric,54.82,"login,search,view,logout",Ubuntu-22.04/x86_64|93:74:2e:de:32:33,normal
USR-0075,user,2024-01-01T08:30:19,133.226.142.47,ME-Central,/api/logs,biometric,42.1,"login,view,logout",Windows-11/22H2|75:0a:89:14:59:f0,normal
DEV-0070,edge_device,2024-01-01T08:36:25,41.122.88.142,AP-South,/api/health,certificate,97.0,"login,view,logout",Ubuntu-22.04/x86_64|1e:32:6a:6c:87:29,normal
DEV-0050,edge_device,2024-01-01T08:43:52,8.199.172.172,EU-Central,/network/scan,token,58.42,"connect,heartbeat,disconnect",Ubuntu-22.04/x86_64|70:f9:70:8b:df:f8,normal
SVC-0187,service_account,2024-01-01T08:44:08,146.54.171.73,AP-South,/db/write,password,121.3,"login,view,logout",macOS-14.2/ARM64|fd:5f:94:13:04:98,normal
USR-0119,user,2024-01-01T08:48:04,154.28.3.53,US-West,/api/admin,certificate,87.31,"login,upload,verify,logout",Android-14/ARM64|91:f9:9d:17:70:ca,normal
SVC-0098,service_account,2024-01-01T08:49:09,7.167.113.166,ME-Central,/api/tokens,biometric,10.74,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|86:c3:be:37:77:f1,normal
SVC-0007,service_account,2024-01-01T08:55:20,17.108.161.55,ME-Central,/storage/upload,biometric,20.66,"connect,heartbeat,disconnect",FW-EdgeOS-3.1|1c:75:10:a1:cd:89,normal
USR-0039,user,2024-01-01T08:57:07,142.65.98.108,EU-Central,/storage/upload,certificate,86.91,"login,upload,verify,logout",macOS-14.2/ARM64|99:9e:d1:a7:ce:97,normal
SVC-0060,service_account,2024-01-01T09:00:42,218.166.93.125,US-East,/storage/download,sso,111.15,"connect,heartbeat,disconnect",Android-14/ARM64|7c:ed:c2:ac:0e:fd,normal
SVC-0098,service_account,2024-01-01T09:02:34,7.167.113.166,ME-Central,/db/read,biometric,9.78,"login,upload,verify,logout",ChromeOS-120/x86_64|86:c3:be:37:77:f1,normal
SVC-0115,service_account,2024-01-01T09:05:42,145.205.35.37,US-West,/storage/download,certificate,156.6,"login,upload,verify,logout",FW-EdgeOS-3.1|9e:ad:b3:03:5c:49,normal
USR-0106,user,2024-01-01T09:15:53,122.229.185.132,US-East,/db/read,sso,69.17,"connect,heartbeat,disconnect",RHEL-9.3/x86_64|87:1a:40:d7:3a:20,normal
USR-0075,user,2024-01-01T09:24:27,133.226.142.47,ME-Central,/api/logs,biometric,33.37,"login,upload,verify,logout",Windows-11/22H2|75:0a:89:14:59:f0,normal
USR-0122,user,2024-01-01T09:24:44,104.10.166.44,SA-East,/api/reports,token,86.07,"login,search,view,logout",Android-14/ARM64|a0:db:cf:d5:94:3a,normal
SVC-0086,service_account,2024-01-01T09:27:33,201.135.173.160,US-East,/db/read,token,8.55,"login,read,read,logout",FW-EdgeOS-3.1|07:49:d1:4f:26:f0,normal
SVC-0177,service_account,2024-01-01T09:28:57,44.194.75.211,AF-South,/db/write,certificate,146.38,"login,read,read,logout",ChromeOS-120/x86_64|0d:f2:87:74:1a:f5,normal
DEV-0158,edge_device,2024-01-01T09:31:07,77.80.89.204,US-East,/network/firewall,token,67.12,"login,read,read,logout",Windows-11/22H2|e3:2c:a3:b1:21:94,normal
SVC-0187,service_account,2024-01-01T09:36:17,146.54.171.73,AP-South,/storage/delete,password,118.64,"login,upload,verify,logout",macOS-14.2/ARM64|fd:5f:94:13:04:98,normal
DEV-0006,edge_device,2024-01-01T09:36:37,98.138.112.176,AP-East,/db/read,certificate,37.02,"login,view,logout",ChromeOS-120/x86_64|88:24:57:7d:53:ec,normal
DEV-0165,edge_device,2024-01-01T09:37:01,165.154.247.63,AP-South,/storage/delete,certificate,45.42,"login,view,logout",IoT-RTOS-2.4|87:6b:d5:0f:fe:94,normal
SVC-0048,service_account,2024-01-01T09:45:27,214.215.199.232,US-East,/api/admin,sso,74.13,"login,read,read,logout",macOS-14.2/ARM64|d0:a9:ee:d4:1f:69,normal
SVC-0129,service_account,2024-01-01T09:45:48,130.88.20.64,AP-South,/ssh/connect,biometric,140.72,"login,view,logout",Windows-11/22H2|4d:1f:e6:34:af:2b,normal
USR-0119,user,2024-01-01T09:50:16,154.28.3.53,US-West,/api/payments,certificate,52.84,"login,search,view,logout",Android-14/ARM64|91:f9:9d:17:70:ca,normal
SVC-0032,service_account,2024-01-01T09:54:36,200.208.79.237,AF-South,/api/health,token,69.66,"login,search,view,logout",macOS-14.2/ARM64|14:b7:6b:7f:34:b5,normal
SVC-0128,service_account,2024-01-01T10:18:12,116.96.164.155,AP-East,/api/reports,certificate,136.38,"login,search,view,logout",FW-EdgeOS-3.1|92:27:2e:c4:ec:15,normal
DEV-0006,edge_device,2024-01-01T10:21:12,98.138.112.176,AP-East,/storage/delete,certificate,47.65,"login,read,read,logout",ChromeOS-120/x86_64|88:24:57:7d:53:ec,normal
USR-0097,user,2024-01-01T10:36:03,4.135.63.117,EU-West,/network/firewall,token,102.9,"connect,heartbeat,disconnect",RHEL-9.3/x86_64|48:73:cb:bb:2e:ca,normal
DEV-0117,edge_device,2024-01-01T10:51:33,173.41.139.114,ME-Central,/api/deploy,sso,16.52,"login,view,logout",Windows-11/22H2|a6:2b:1a:4f:50:19,normal
USR-0089,user,2024-01-01T10:54:58,111.74.125.136,AP-East,/api/configs,password,113.77,"login,search,view,logout",ChromeOS-120/x86_64|17:a6:1c:96:b7:bf,normal
USR-0034,user,2024-01-01T10:56:02,210.235.179.79,EU-Central,/api/deploy,token,161.89,"login,read,read,logout",Ubuntu-22.04/x86_64|37:c3:13:f0:71:66,normal
DEV-0171,edge_device,2024-01-01T11:16:22,74.4.55.111,EU-Central,/api/health,certificate,63.42,"connect,heartbeat,disconnect",FW-EdgeOS-3.1|b4:18:19:90:fd:f0,normal
DEV-0137,edge_device,2024-01-01T11:18:20,210.102.70.224,US-East,/api/settings,certificate,7.65,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|e1:ec:90:c3:d6:52,normal
USR-0133,user,2024-01-01T11:19:21,47.109.174.243,ME-Central,/api/configs,sso,90.82,"login,search,view,logout",FW-EdgeOS-3.1|2f:d8:b9:09:b9:9e,normal
SVC-0138,service_account,2024-01-01T11:24:25,22.82.139.116,SA-East,/storage/delete,biometric,17.14,"login,search,view,logout",iOS-17.2/ARM64|1a:f6:be:34:3f:91,normal
DEV-0163,edge_device,2024-01-01T11:27:24,163.140.64.161,AF-South,/api/health,token,6.92,"connect,heartbeat,disconnect",Windows-11/22H2|73:b1:91:28:80:64,normal
USR-0003,user,2024-01-01T11:30:16,187.235.63.250,EU-Central,/network/vpn,certificate,153.83,"login,view,logout",ChromeOS-120/x86_64|c2:31:b7:b0:87:16,normal
DEV-0165,edge_device,2024-01-01T11:31:44,165.154.247.63,AP-South,/api/deploy,certificate,59.8,"login,view,logout",IoT-RTOS-2.4|87:6b:d5:0f:fe:94,normal
USR-0077,user,2024-01-01T11:32:06,117.45.161.65,EU-West,/network/vpn,biometric,75.31,"login,search,view,logout",Android-14/ARM64|a8:d2:fd:93:cd:12,normal
DEV-0014,edge_device,2024-01-01T11:47:15,68.216.108.238,US-East,/api/users,token,86.81,"login,read,read,logout",Android-14/ARM64|f8:23:40:41:f3:54,normal
USR-0184,user,2024-01-01T11:51:31,26.211.169.184,EU-Central,/api/settings,password,29.45,"login,read,read,logout",FW-EdgeOS-3.1|7a:7c:19:73:77:1a,normal
USR-0063,user,2024-01-01T12:01:35,109.169.180.180,US-East,/api/configs,password,105.44,"login,search,view,logout",RHEL-9.3/x86_64|cf:7c:9c:bc:f2:b0,normal
DEV-0125,edge_device,2024-01-01T12:07:35,45.78.38.46,US-West,/api/health,sso,80.14,"login,read,read,logout",Android-14/ARM64|4b:78:34:4a:83:65,normal
SVC-0074,service_account,2024-01-01T12:14:53,111.165.128.7,US-West,/api/settings,certificate,31.69,"login,read,read,logout",ChromeOS-120/x86_64|ce:8b:fc:e0:29:14,normal
DEV-0160,edge_device,2024-01-01T12:28:39,135.210.209.211,AP-South,/db/read,sso,38.51,"login,search,view,logout",Ubuntu-22.04/x86_64|42:2c:21:9e:cb:f5,normal
DEV-0194,edge_device,2024-01-01T12:33:17,20.57.31.213,ME-Central,/api/logs,biometric,63.66,"connect,heartbeat,disconnect",Ubuntu-22.04/x86_64|f1:6f:7e:29:e4:b9,normal
DEV-0000,edge_device,2024-01-01T12:42:54,189.52.44.152,EU-West,/api/audit,biometric,46.44,"login,view,logout",iOS-17.2/ARM64|39:0c:8c:7d:72:47,normal
USR-0122,user,2024-01-01T12:49:43,104.10.166.44,SA-East,/api/payments,token,68.54,"login,search,view,logout",Android-14/ARM64|a0:db:cf:d5:94:3a,normal
DEV-0024,edge_device,2024-01-01T13:25:02,31.126.20.159,AP-South,/network/vpn,biometric,50.93,"login,view,logout",IoT-RTOS-2.4|29:5f:23:22:78:ce,normal
USR-0133,user,2024-01-01T13:55:06,47.109.174.243,EU-West,/api/logs,token,83.9,"login,view,logout",FW-EdgeOS-3.1|2f:d8:b9:09:b9:9e,normal
DEV-0195,edge_device,2024-01-01T14:19:44,175.105.250.24,EU-West,/api/tokens,sso,65.53,"connect,heartbeat,disconnect",FW-EdgeOS-3.1|67:4c:54:a7:e2:3b,normal
SVC-0191,service_account,2024-01-01T14:20:55,67.184.120.16,AP-South,/api/reports,password,57.71,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|78:e4:88:a8:9a:05,normal
DEV-0024,edge_device,2024-01-01T14:33:58,31.126.20.159,AP-South,/api/data-export,biometric,51.25,"login,search,view,logout",IoT-RTOS-2.4|29:5f:23:22:78:ce,normal
DEV-0139,edge_device,2024-01-01T14:38:56,7.212.27.102,CA-Central,/storage/download,biometric,117.93,"login,upload,verify,logout",Windows-11/22H2|4b:df:2e:71:e6:b2,normal
DEV-0008,edge_device,2024-01-01T15:12:46,64.134.219.230,EU-West,/network/firewall,biometric,74.2,"login,upload,verify,logout",Windows-11/22H2|ff:ca:ea:49:87:47,normal
SVC-0185,service_account,2024-01-01T15:14:28,123.102.147.83,CA-Central,/api/configs,password,54.69,"login,upload,verify,logout",iOS-17.2/ARM64|33:46:02:50:d0:f3,normal
USR-0046,user,2024-01-01T15:23:52,183.146.120.70,AP-East,/api/audit,password,43.63,"connect,heartbeat,disconnect",RHEL-9.3/x86_64|8d:f8:7a:8c:e1:27,normal
SVC-0185,service_account,2024-01-01T15:32:54,123.102.147.83,CA-Central,/network/firewall,password,47.88,"login,view,logout",iOS-17.2/ARM64|33:46:02:50:d0:f3,normal
SVC-0055,service_account,2024-01-01T15:40:21,156.58.83.247,EU-Central,/network/scan,token,78.68,"connect,heartbeat,disconnect",Windows-11/22H2|3a:6f:ee:83:bc:55,normal
SVC-0185,service_account,2024-01-01T15:53:37,123.102.147.83,CA-Central,/api/audit,password,61.97,"login,read,read,logout",iOS-17.2/ARM64|33:46:02:50:d0:f3,normal
SVC-0190,service_account,2024-01-01T17:12:31,83.127.3.67,US-West,/storage/download,certificate,65.11,"login,view,logout",macOS-14.2/ARM64|2c:cd:30:5e:47:f4,normal
SVC-0056,service_account,2024-01-01T18:21:22,20.124.52.179,AP-East,/storage/upload,token,7.37,"connect,heartbeat,disconnect",iOS-17.2/ARM64|37:0d:9f:c0:cb:65,normal
USR-0168,user,2024-01-02T01:16:56,106.53.253.115,US-West,/api/reports,certificate,23.15,"login,search,view,logout",RHEL-9.3/x86_64|ee:3e:88:e6:7e:48,credential_misuse
USR-0068,user,2024-01-02T04:39:34,208.155.43.64,EU-West,/ssh/connect,biometric,97.58,"login,search,view,logout",IoT-RTOS-2.4|cd:fb:25:1b:4d:4c,normal
USR-0068,user,2024-01-02T04:42:33,208.155.43.64,EU-West,/db/write,biometric,78.81,"login,read,read,logout",IoT-RTOS-2.4|cd:fb:25:1b:4d:4c,normal
DEV-0028,edge_device,2024-01-02T04:54:58,30.54.79.70,CA-Central,/db/admin,token,60.69,"login,search,view,logout",Ubuntu-22.04/x86_64|9a:04:99:35:44:87,normal
SVC-0120,service_account,2024-01-02T05:08:31,2.254.220.45,CA-Central,/api/payments,biometric,7.46,"login,upload,verify,logout",iOS-17.2/ARM64|6c:46:82:94:a7:3d,normal
DEV-0131,edge_device,2024-01-02T05:36:44,73.129.76.86,SA-East,/api/reports,certificate,45.65,"connect,heartbeat,disconnect",Windows-11/22H2|1a:ab:21:a8:30:c5,normal
SVC-0120,service_account,2024-01-02T05:53:48,2.254.220.45,CA-Central,/api/configs,token,6.22,"login,search,view,logout",iOS-17.2/ARM64|6c:46:82:94:a7:3d,normal
USR-0061,user,2024-01-02T06:02:47,133.97.43.62,SA-East,/network/firewall,certificate,79.5,"login,search,view,logout",FW-EdgeOS-3.1|b5:84:ae:8f:8d:05,normal
DEV-0070,edge_device,2024-01-02T06:06:24,41.122.88.142,AP-South,/api/health,certificate,109.73,"login,upload,verify,logout",Ubuntu-22.04/x86_64|1e:32:6a:6c:87:29,normal
DEV-0163,edge_device,2024-01-02T06:06:59,163.140.64.161,AF-South,/api/health,token,6.31,"login,upload,verify,logout",Windows-11/22H2|73:b1:91:28:80:64,normal
USR-0005,user,2024-01-02T06:22:38,42.189.181.54,SA-East,/storage/download,biometric,49.72,"login,upload,verify,logout",Ubuntu-22.04/x86_64|77:33:c2:8e:e8:ba,normal
DEV-0049,edge_device,2024-01-02T06:26:12,193.199.214.138,EU-West,/ssh/connect,token,25.01,"login,search,view,logout",RHEL-9.3/x86_64|0a:c2:f4:03:b4:98,normal
SVC-0109,service_account,2024-01-02T06:50:45,204.58.110.111,US-West,/api/settings,sso,52.94,"login,search,view,logout",iOS-17.2/ARM64|a6:c3:96:e8:dc:32,normal
DEV-0126,edge_device,2024-01-02T06:51:49,113.34.240.114,CA-Central,/ssh/connect,certificate,41.89,"login,upload,verify,logout",ChromeOS-120/x86_64|fc:ed:e5:a5:a1:4d,normal
SVC-0134,service_account,2024-01-02T07:15:44,217.51.19.170,AF-South,/network/scan,password,10.01,"connect,heartbeat,disconnect",Android-14/ARM64|62:73:46:4f:27:97,normal
DEV-0059,edge_device,2024-01-02T07:18:14,213.44.142.226,AF-South,/storage/upload,biometric,74.21,"login,view,logout",Android-14/ARM64|f7:ee:df:89:a5:7d,normal
DEV-0037,edge_device,2024-01-02T07:22:57,148.97.130.12,AF-South,/network/scan,sso,98.45,"login,upload,verify,logout",macOS-14.2/ARM64|de:b0:a0:df:3b:c5,normal
SVC-0134,service_account,2024-01-02T07:23:25,217.51.19.170,AF-South,/network/scan,password,8.93,"login,view,logout",Android-14/ARM64|62:73:46:4f:27:97,normal
DEV-0126,edge_device,2024-01-02T07:25:58,113.34.240.114,CA-Central,/ssh/connect,certificate,49.94,"login,read,read,logout",ChromeOS-120/x86_64|fc:ed:e5:a5:a1:4d,normal
SVC-0129,service_account,2024-01-02T07:31:37,130.88.20.64,AP-South,/ssh/connect,biometric,120.08,"login,view,logout",Windows-11/22H2|4d:1f:e6:34:af:2b,normal
SVC-0182,service_account,2024-01-02T07:41:34,198.74.148.11,AF-South,/storage/upload,password,76.82,"login,view,logout",macOS-14.2/ARM64|8c:93:3e:c2:ca:b0,normal
SVC-0078,service_account,2024-01-02T08:02:54,49.185.255.161,EU-West,/api/logs,password,66.6,"login,read,read,logout",Android-14/ARM64|3b:ce:00:ec:d3:1b,normal
SVC-0135,service_account,2024-01-02T08:06:00,185.224.22.106,AP-South,/db/admin,token,59.25,"login,search,view,logout",iOS-17.2/ARM64|43:c0:4e:53:5c:54,normal
SVC-0188,service_account,2024-01-02T08:09:34,85.83.234.166,EU-Central,/storage/upload,password,5.48,"login,read,read,logout",RHEL-9.3/x86_64|fc:44:ef:8b:62:39,normal
DEV-0131,edge_device,2024-01-02T08:15:13,73.129.76.86,SA-East,/api/reports,certificate,46.6,"connect,heartbeat,disconnect",Windows-11/22H2|1a:ab:21:a8:30:c5,normal
SVC-0098,service_account,2024-01-02T08:18:26,7.167.113.166,ME-Central,/db/write,biometric,7.22,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|86:c3:be:37:77:f1,normal
SVC-0098,service_account,2024-01-02T08:27:03,7.167.113.166,ME-Central,/api/configs,biometric,8.59,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|86:c3:be:37:77:f1,normal
DEV-0178,edge_device,2024-01-02T08:28:10,81.214.77.106,SA-East,/api/settings,biometric,30.38,"login,upload,verify,logout",FW-EdgeOS-3.1|7c:10:38:61:09:e1,normal
USR-0075,user,2024-01-02T08:29:02,133.226.142.47,ME-Central,/network/vpn,biometric,34.08,"login,read,read,logout",Windows-11/22H2|75:0a:89:14:59:f0,normal
DEV-0070,edge_device,2024-01-02T08:39:51,41.122.88.142,AP-South,/db/write,certificate,86.06,"login,view,logout",Ubuntu-22.04/x86_64|1e:32:6a:6c:87:29,normal
USR-0022,user,2024-01-02T08:41:52,74.216.249.40,AP-South,/storage/upload,sso,63.43,"connect,heartbeat,disconnect",RHEL-9.3/x86_64|54:c2:01:c7:87:e8,normal
USR-0066,user,2024-01-02T08:56:49,164.251.52.224,ME-Central,/api/health,biometric,92.08,"login,read,read,logout",RHEL-9.3/x86_64|40:8c:17:1b:95:40,normal
DEV-0026,edge_device,2024-01-02T08:59:07,160.51.37.138,AP-East,/network/scan,certificate,124.11,"login,view,logout",Ubuntu-22.04/x86_64|99:ea:a1:25:04:ea,normal
USR-0071,user,2024-01-02T09:13:10,9.118.147.181,AP-South,/api/deploy,biometric,83.8,"login,view,logout",FW-EdgeOS-3.1|50:01:d1:e6:f0:95,normal
DEV-0149,edge_device,2024-01-02T09:16:23,221.24.169.70,AP-South,/storage/upload,token,83.74,"login,view,logout",iOS-17.2/ARM64|f2:81:12:61:92:b6,normal
SVC-0186,service_account,2024-01-02T09:30:35,215.90.18.215,SA-East,/api/deploy,password,36.03,"login,read,read,logout",ChromeOS-120/x86_64|1e:2d:76:13:59:d5,normal
USR-0035,user,2024-01-02T09:43:24,222.35.142.90,CA-Central,/ssh/connect,biometric,66.91,"login,search,view,logout",ChromeOS-120/x86_64|72:0c:62:cc:a8:8e,normal
SVC-0135,service_account,2024-01-02T09:43:54,185.224.22.106,AP-South,/ssh/connect,token,55.56,"login,view,logout",iOS-17.2/ARM64|43:c0:4e:53:5c:54,normal
USR-0119,user,2024-01-02T09:53:24,154.28.3.53,US-West,/api/users,certificate,89.23,"login,read,read,logout",Android-14/ARM64|91:f9:9d:17:70:ca,normal
SVC-0108,service_account,2024-01-02T09:54:39,83.75.33.33,EU-West,/api/tokens,token,26.27,"login,read,read,logout",Windows-11/22H2|da:37:fb:e3:25:29,normal
DEV-0021,edge_device,2024-01-02T10:06:45,124.109.205.232,US-East,/api/tokens,token,5.49,"connect,heartbeat,disconnect",Windows-11/22H2|07:2f:79:55:d0:f8,normal
DEV-0014,edge_device,2024-01-02T10:13:42,68.216.108.238,US-East,/api/deploy,token,77.99,"connect,heartbeat,disconnect",Android-14/ARM64|f8:23:40:41:f3:54,normal
USR-0097,user,2024-01-02T10:15:51,4.135.63.117,EU-West,/network/firewall,token,99.74,"connect,heartbeat,disconnect",RHEL-9.3/x86_64|48:73:cb:bb:2e:ca,normal
USR-0106,user,2024-01-02T10:24:58,122.229.185.132,US-East,/db/read,sso,84.98,"connect,heartbeat,disconnect",RHEL-9.3/x86_64|87:1a:40:d7:3a:20,normal
DEV-0041,edge_device,2024-01-02T10:25:53,204.86.43.73,AP-South,/api/users,certificate,8.76,"login,view,logout",Windows-11/22H2|a4:ee:e2:e2:6d:f2,normal
USR-0066,user,2024-01-02T10:28:00,164.251.52.224,ME-Central,/api/tokens,biometric,98.1,"login,read,read,logout",RHEL-9.3/x86_64|40:8c:17:1b:95:40,normal
DEV-0192,edge_device,2024-01-02T10:36:58,177.60.151.95,AP-South,/storage/download,password,27.39,"login,read,read,logout",Android-14/ARM64|3c:ee:9d:51:cf:9f,normal
DEV-0076,edge_device,2024-01-02T10:49:27,86.164.53.220,EU-Central,/api/admin,certificate,121.96,"connect,heartbeat,disconnect",IoT-RTOS-2.4|df:fb:2e:f0:b2:d1,normal
DEV-0117,edge_device,2024-01-02T10:50:44,173.41.139.114,ME-Central,/api/configs,token,21.73,"login,read,read,logout",Windows-11/22H2|a6:2b:1a:4f:50:19,normal
USR-0172,user,2024-01-02T10:53:04,14.99.185.142,US-East,/db/read,biometric,69.41,"login,read,read,logout",iOS-17.2/ARM64|87:bb:ce:bb:17:cd,normal
USR-0089,user,2024-01-02T10:54:28,111.74.125.136,AP-East,/api/data-export,password,94.21,"login,view,logout",ChromeOS-120/x86_64|17:a6:1c:96:b7:bf,normal
SVC-0098,service_account,2024-01-02T10:59:07,7.167.113.166,ME-Central,/db/read,biometric,7.24,"connect,heartbeat,disconnect",ChromeOS-120/x86_64|86:c3:be:37:77:f1,normal
DEV-0103,edge_device,2024-01-02T11:01:50,202.105.35.213,US-East,/db/write,token,80.43,"login,search,view,logout",Windows-11/22H2|6c:0a:19:aa:7c:40,normal
